6,medieval,Robin Hood: Prince of Thieves,2
7,funny,The School of Rock,2
12,robots,"I, Robot",2
12,robots,Short Circuit,2
12,robots,Transformers,2
13,time travel,The Time Machine,2
24,dystopia,Nineteen Eighty-Four,2
24,dystopia,Planet of the Apes,2
38,ghosts/afterlife,Heaven Can Wait,2
38,ghosts/afterlife,Thir13en Ghosts,2
42,gothic,Dracula,4
42,gothic,Frankenstein,2
55,comedy,Lethal Weapon,2
56,sam raimi,Spider-Man,2
59,johnny depp,Chocolat,2
60,fun,One Hundred and One Dalmatians,2
62,vampire,Dracula,4
62,vampire,Interview with the Vampire: The Vampire Chronicles,3
74,action,Dawn of the Dead,2
74,action,Die Hard,2
74,action,Kill Bill: Vol. 2,2
74,action,Lethal Weapon,2
74,action,Predator,2
80,ghosts,House on Haunted Hill,2
93,nudity (topless),Lethal Weapon,2
93,nudity (topless),The Girl Next Door,2
93,nudity (topless),Wedding Crashers,2
110,espionage,Mission: Impossible III,2
119,vampires,Interview with the Vampire: The Vampire Chronicles,3
119,vampires,Underworld: Evolution,2
125,sequel,Lethal Weapon,2
125,sequel,Spider-Man,2
136,pirates,Pirates of the Caribbean: The Curse of the Black Pearl,2
136,pirates,Treasure Island,2
138,god,Evan Almighty,2
145,space,Solyaris,2
146,fantasy,The Lord of the Rings: The Return of the King,2
161,violence,Kill Bill: Vol. 2,2
161,violence,Planet of the Apes,2
167,aliens,Alien³,2
167,aliens,Predator,2
167,aliens,Solyaris,2
167,aliens,War of the Worlds,2
173,possession,The Amityville Horror,2
186,superhero,Batman,2
186,superhero,Punisher: War Zone,2
186,superhero,Spider-Man,2
203,divorce,The Gay Divorcee,2
224,hunting,Predator,2
232,suburbia,SubUrbia,2
237,world war ii,To Be or Not to Be,2
312,quentin tarantino,Kill Bill: Vol. 2,2
328,music,The School of Rock,2
351,imdb top 250,Kill Bill: Vol. 2,2
351,imdb top 250,Shichinin no samurai,2
362,disney animated feature,One Hundred and One Dalmatians,2
366,scifi,Solyaris,2
380,funniest movies,Grumpy Old Men,2
398,less than 300 ratings,Broken English,2
398,less than 300 ratings,The Assassination of Jesse James by the Coward Robert Ford,2
398,less than 300 ratings,The Front Page,2
410,high fantasy,The Lord of the Rings: The Return of the King,2
415,romance,Sabrina,2
418,nicolas cage,National Treasure: Book of Secrets,2
449,robert rodriguez,Spy Kids 2: Island of Lost Dreams,2
458,revenge,Kill Bill: Vol. 2,2
459,adventure,King Kong,2
459,adventure,The Lord of the Rings: The Return of the King,2
473,drama,Shichinin no samurai,2
478,tom cruise,Mission: Impossible III,2
497,christmas,How the Grinch Stole Christmas,2
497,christmas,Miracle on 34th Street,2
497,christmas,Scrooge,2
504,hit men,Natural Born Killers,2
521,violent,Kill Bill: Vol. 2,2
538,car chase,The Chase,2
582,owned,Alien³,2
582,owned,Kill Bill: Vol. 2,2
582,owned,Planet of the Apes,2
583,dvd,Alien³,2
583,dvd,Ben-Hur,2
583,dvd,Charlie's Angels: Full Throttle,2
583,dvd,Gladiator,2
583,dvd,Kill Bill: Vol. 2,2
583,dvd,Spider-Man,2
587,bibliothek,Kill Bill: Vol. 2,2
587,bibliothek,The Thomas Crown Affair,2
596,dinosaurs,King Kong,2
605,classic,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,2
605,classic,Miracle on 34th Street,2
605,classic,Pride & Prejudice,2
605,classic,The Maltese Falcon,2
612,brainwashing,The Manchurian Candidate,2
634,assassin,Bangkok Dangerous,2
634,assassin,Get Carter,2
634,assassin,The Manchurian Candidate,2
641,zombies,Dawn of the Dead,2
641,zombies,Night of the Living Dead,2
651,seen more than once,Charlie's Angels: Full Throttle,2
651,seen more than once,Kill Bill: Vol. 2,2
651,seen more than once,Lethal Weapon,2
651,seen more than once,Spider-Man,2
657,james bond,Casino Royale,2
686,martial arts,Jui kuen II,2
686,martial arts,Kill Bill: Vol. 2,2
689,politics,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,2
706,new york city,Spider-Man,2
730,adaptation,Pride & Prejudice,2
730,adaptation,The Importance of Being Earnest,2
740,japan,Kill Bill: Vol. 2,2
740,japan,Ningen no jôken,3
742,scary,King Kong,2
752,family,Freaky Friday,2
765,jude law,The Jungle Book,2
770,matt damon,The Bourne Identity,2
814,tits,American Pie,2
870,mel gibson,Lethal Weapon,2
871,musical,Grease,2
887,70mm,Die Hard,2
887,70mm,Grease,2
887,70mm,Lethal Weapon,2
887,70mm,Predator,2
900,disney,One Hundred and One Dalmatians,2
904,epic,The Lord of the Rings: The Return of the King,2
907,cars,The Italian Job,2
910,high school,Grease,2
916,football,The Longest Yard,2
985,marvel,Punisher: War Zone,2
985,marvel,Spider-Man,2
1023,murder,Bangkok Dangerous,2
1023,murder,Charlie's Angels: Full Throttle,2
1023,murder,Get Carter,2
1023,murder,Hamlet,5
1023,murder,Insomnia,2
1023,murder,Mission: Impossible III,2
1023,murder,Psycho,2
1023,murder,The Manchurian Candidate,2
1043,infidelity,Get Carter,2
1061,based on a book,A Tale of Two Cities,2
1061,based on a book,Charlie and the Chocolate Factory,2
1061,based on a book,Dune,2
1061,based on a book,Frankenstein,2
1061,based on a book,Great Expectations,2
1061,based on a book,How the Grinch Stole Christmas,2
1061,based on a book,Little Women,3
1061,based on a book,Lord of the Flies,2
1061,based on a book,Nineteen Eighty-Four,2
1061,based on a book,Of Mice and Men,2
1061,based on a book,Oliver Twist,3
1061,based on a book,Peter Pan,2
1061,based on a book,Solyaris,2
1061,based on a book,The Bone Collector,2
1061,based on a book,The Lord of the Rings: The Return of the King,2
1061,based on a book,The Manchurian Candidate,2
1061,based on a book,The Phantom of the Opera,2
1061,based on a book,The Razor's Edge,2
1061,based on a book,The Time Machine,2
1061,based on a book,Treasure Island,2
1061,based on a book,War of the Worlds,2
1065,disturbing,Invasion of the Body Snatchers,2
1065,disturbing,The Phantom of the Opera,2
1123,hitchcock,Psycho,2
1136,nudity (full frontal),The Devil's Advocate,2
1184,bruce willis,Die Hard,2
1194,will smith,The Pursuit of Happyness,2
1221,brendan fraser,The Mummy,2
1222,chick flick,Sabrina,2
1224,adapted from:book,A Tale of Two Cities,2
1224,adapted from:book,Anna Karenina,2
1224,adapted from:book,Charlie and the Chocolate Factory,2
1224,adapted from:book,Charlotte's Web,2
1224,adapted from:book,Dr. Jekyll and Mr. Hyde,3
1224,adapted from:book,Frankenstein,2
1224,adapted from:book,Get Carter,2
1224,adapted from:book,Great Expectations,2
1224,adapted from:book,How the Grinch Stole Christmas,2
1224,adapted from:book,Jane Eyre,2
1224,adapted from:book,Little Women,3
1224,adapted from:book,Lolita,2
1224,adapted from:book,Nineteen Eighty-Four,2
1224,adapted from:book,Of Mice and Men,2
1224,adapted from:book,Oliver Twist,2
1224,adapted from:book,Peter Pan,2
1224,adapted from:book,Pride & Prejudice,2
1224,adapted from:book,The Adventures of Huck Finn,2
1224,adapted from:book,The Hound of the Baskervilles,3
1224,adapted from:book,The Hunchback of Notre Dame,2
1224,adapted from:book,The Jungle Book,2
1224,adapted from:book,The Lord of the Rings: The Return of the King,2
1224,adapted from:book,The Maltese Falcon,2
1224,adapted from:book,War of the Worlds,2
1224,adapted from:book,Wuthering Heights,3
1277,cant remember,Lethal Weapon,2
1295,terrorism,Die Hard,2
1320,shakespeare,Hamlet,5
1320,shakespeare,Henry V,2
1320,shakespeare,Othello,2
1320,shakespeare,Richard III,2
1320,shakespeare,Romeo + Juliet,2
1364,rape,Get Carter,2
1382,stylized,Kill Bill: Vol. 2,2
1450,teen,American Pie,2
1507,animal attacks,Jaws,2
1518,monster,King Kong,3
1523,switching places,Freaky Friday,2
1528,shark,Jaws,2
1574,dogs,Lassie,2
1574,dogs,One Hundred and One Dalmatians,2
1612,30s,King Kong,2
1613,chocolate,Chocolat,2
1641,dc,Batman,2
1646,wedding,Father of the Bride,2
1669,evil children,Village of the Damned,2
1688,frankenstein,Frankenstein,2
1699,haunted house,House on Haunted Hill,2
1699,haunted house,The Amityville Horror,2
1752,psychic powers,Village of the Damned,2
1759,rock and roll,The School of Rock,2
1783,franchise,Alien³,2
1783,franchise,Casino Royale,2
1783,franchise,Jaws,2
1789,pulp,King Solomon's Mines,3
1803,werewolves,Underworld: Evolution,2
1876,talking animals,Charlotte's Web,2
1911,book,The Razor's Edge,2
1911,book,Wuthering Heights,3
1925,erlends dvds,Alien³,2
1925,erlends dvds,Dr. Jekyll and Mr. Hyde,2
1925,erlends dvds,Dracula,3
1925,erlends dvds,"I, Robot",2
1925,erlends dvds,Invasion of the Body Snatchers,2
1925,erlends dvds,Metropolis,2
1925,erlends dvds,The Fly,2
1925,erlends dvds,The Phantom of the Opera,2
1940,super hero,Spider-Man,2
1954,explosions,Die Hard,2
2005,holiday,Miracle on 34th Street,2
2082,santa claus,Miracle on 34th Street,2
2136,movie to see,National Treasure: Book of Secrets,2
2136,movie to see,The Stepford Wives,2
2136,movie to see,The Strangers,2
2164,jackie chan,Jui kuen II,2
2235,buddy,Lethal Weapon,2
2241,tarantino,Kill Bill: Vol. 2,2
2367,david carradine,Kill Bill: Vol. 2,2
2381,kirsten dunst,Spider-Man,2
2399,uma thurman,Kill Bill: Vol. 2,2
2401,tobey maguire,Spider-Man,2
2538,atmospheric,The Lord of the Rings: The Return of the King,2
2581,futuristmoviescom,Planet of the Apes,2
2581,futuristmoviescom,Solyaris,2
2581,futuristmoviescom,The Stepford Wives,2
2581,futuristmoviescom,The Time Machine,2
2581,futuristmoviescom,War of the Worlds,2
2642,zombie,Night of the Living Dead,2
2642,zombie,Night of the Zombies,2
2731,foqam,Lethal Weapon,2
2903,dvdr,Dr. Jekyll and Mr. Hyde,2
2955,own,Die Hard,2
3007,directorial debut,This Is Spinal Tap,2
3018,alien series,Alien³,2
3081,claire danes,Romeo + Juliet,2
3216,justin bartha,National Treasure: Book of Secrets,2
3312,danny glover,Lethal Weapon,2
3556,jamie lee curtis,My Girl,2
3691,diane kruger,National Treasure: Book of Secrets,2
3705,dan aykroyd,My Girl,2
3736,michael caine,Get Carter,2
3803,richard masur,My Girl,2
3851,jon voight,National Treasure: Book of Secrets,2
3944,anna chlumsky,My Girl,2
4065,puppetry,Pinocchio,2
4080,gfei own it,Kill Bill: Vol. 2,2
4081,want it,Lethal Weapon,2
4139,kate,The Maltese Falcon,2
4251,adultery,Get Carter,2
4251,adultery,Hamlet,6
4251,adultery,Heaven Can Wait,2
4304,action martialarts revenge,Kill Bill: Vol. 2,2
4570,eerie,Dracula,2
4594,australia,Evil Angels,2
4594,australia,The Beach,2
4791,antichrist,The Omen,2
5035,seen at the cinema,Casino Royale,2
5035,seen at the cinema,Spider-Man,2
5045,monkey,King Kong,2
5147,theft,The Italian Job,2
5156,kung fu,Jui kuen II,2
5175,caper movie,The Ladykillers,2
5183,play adaptation,The Importance of Being Earnest,2
5188,oscar wilde,The Importance of Being Earnest,2
5197,mad scientist,The Fly,2
5209,alien invasion,War of the Worlds,2
5215,mummy,The Mummy,3
5223,kickbutt women,Kill Bill: Vol. 2,2
5281,based on book,Charlotte's Web,2
5391,tarantino is god,Kill Bill: Vol. 2,2
5557,alter ego,Batman,2
